date,nifty_open,nifty_high,nifty_low,nifty_close,result,change_pct,vix_vs_actual_diff,up_from_open,down_from_open,fii_view,pro_view,fii_bucket,pro_bucket,alignment,strong_alignment,move_direction,outcome_classification,close_outcome,vix_exhaustion,vix_predicted_move_pct,intraday_high_pct,intraday_low_pct,actual_open_close_pct,actual_range_pct,is_nifty_expiry,vix_open,vix_regime,year
2023-09-25,19678.2,19734.15,19602.05,19674.85,Red,-0.02%,-0.01,55.95,76.15,Mildly Bearish,Bearish,Bearish,Bearish,Bearish Alignment,None,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.68,0.28,-0.39,-0.02,0.67,0,10.82,Low (<15),2023
2023-09-26,19682.8,19699.35,19637.45,19673.6,Red,-0.05%,-0.37,16.55,45.35,Mildly Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,None,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.68,0.08,-0.23,-0.05,0.31,0,10.82,Low (<15),2023
2023-09-27,19637.05,19730.7,19554.0,19728.2,Green,+0.46%,0.22,93.65,83.05,Mildly Bearish,Neutral,Bearish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.68,0.48,-0.42,0.46,0.9,0,10.82,Low (<15),2023
2023-09-28,19761.8,19766.65,19492.1,19553.3,Red,-1.06%,0.66,4.85,269.7,Mildly Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,None,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.73,0.02,-1.36,-1.06,1.39,1,11.59,Low (<15),2023
2023-09-29,19581.2,19726.25,19551.05,19638.2,Green,+0.29%,0.08,145.05,30.15,Mildly Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,None,Down to Up,Worked then Reversed,Reversed by Close,Reversed Before Half,0.81,0.74,-0.15,0.29,0.89,0,12.82,Low (<15),2023
2023-10-03,19622.4,19623.2,19479.65,19522.95,Red,-0.51%,-0.08,0.8,142.75,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.81,0.0,-0.73,-0.51,0.73,0,12.82,Low (<15),2023
2023-10-04,19446.3,19457.8,19333.6,19446.15,Flat,-0.0%,-0.17,11.5,112.7,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.81,0.06,-0.58,-0.0,0.64,0,12.82,Low (<15),2023
2023-10-05,19521.85,19576.95,19487.3,19546.6,Green,+0.13%,-0.27,55.1,34.55,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.73,0.28,-0.18,0.13,0.46,1,11.66,Low (<15),2023
2023-10-06,19621.2,19675.75,19589.4,19649.9,Green,+0.15%,-0.25,54.55,31.8,Neutral,Mildly Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.69,0.28,-0.16,0.15,0.44,0,10.94,Low (<15),2023
2023-10-09,19539.45,19588.95,19480.5,19497.5,Red,-0.21%,-0.13,49.5,58.95,Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.69,0.25,-0.3,-0.21,0.56,0,10.94,Low (<15),2023
2023-10-10,19565.6,19717.8,19565.45,19691.5,Green,+0.64%,0.09,152.2,0.15,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.69,0.78,-0.0,0.64,0.78,0,10.94,Low (<15),2023
2023-10-11,19767.0,19839.2,19756.95,19808.5,Green,+0.21%,-0.27,72.2,10.05,Strong Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.69,0.37,-0.05,0.21,0.42,0,10.94,Low (<15),2023
2023-10-12,19822.7,19843.3,19772.65,19782.9,Red,-0.2%,-0.33,20.6,50.05,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.69,0.1,-0.25,-0.2,0.36,1,10.99,Low (<15),2023
2023-10-13,19654.55,19805.4,19635.3,19730.95,Green,+0.39%,0.2,150.85,19.25,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.67,0.77,-0.1,0.39,0.87,0,10.62,Low (<15),2023
2023-10-16,19737.25,19781.3,19691.85,19730.95,Red,-0.03%,-0.22,44.05,45.4,Strong Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Reversed Before Half,0.67,0.22,-0.23,-0.03,0.45,0,10.62,Low (<15),2023
2023-10-17,19843.2,19849.75,19775.65,19818.35,Red,-0.13%,-0.3,6.55,67.55,Neutral,Mildly Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.67,0.03,-0.34,-0.13,0.37,0,10.62,Low (<15),2023
2023-10-18,19820.45,19840.95,19659.95,19668.25,Red,-0.77%,0.24,20.5,160.5,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.67,0.1,-0.81,-0.77,0.91,0,10.62,Low (<15),2023
2023-10-19,19545.2,19681.8,19512.35,19611.9,Green,+0.34%,0.18,136.6,32.85,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.69,0.7,-0.17,0.34,0.87,1,10.97,Low (<15),2023
2023-10-20,19542.15,19593.8,19518.7,19541.75,Flat,-0.0%,-0.31,51.65,23.45,Bearish,Strong Bullish,Bearish,Bullish,Mixed,None,Top to Down,N/A,N/A,N/A,0.69,0.26,-0.12,-0.0,0.38,0,10.9,Low (<15),2023
2023-10-23,19521.6,19556.85,19257.85,19278.45,Red,-1.25%,0.84,35.25,263.75,Bearish,Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.69,0.18,-1.35,-1.25,1.53,0,10.9,Low (<15),2023
2023-10-25,19286.45,19347.3,19074.15,19125.65,Red,-0.83%,0.73,60.85,212.3,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.69,0.32,-1.1,-0.83,1.42,0,10.9,Low (<15),2023
2023-10-26,19027.25,19041.7,18837.85,18848.5,Red,-0.94%,0.36,14.45,189.4,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.71,0.08,-1.0,-0.94,1.07,1,11.31,Low (<15),2023
2023-10-27,18928.75,19076.15,18926.65,19060.5,Green,+0.7%,0.05,147.4,2.1,Strong Bearish,Strong Bullish,Bearish,Bullish,Mixed,None,Down to Up,N/A,N/A,N/A,0.74,0.78,-0.01,0.7,0.79,0,11.73,Low (<15),2023
2023-10-30,19053.4,19158.5,18940.0,19148.85,Green,+0.5%,0.41,105.1,113.4,Strong Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.74,0.55,-0.6,0.5,1.15,0,11.73,Low (<15),2023
2023-10-31,19232.95,19233.7,19056.45,19086.55,Red,-0.76%,0.18,0.75,176.5,Neutral,Strong Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.74,0.0,-0.92,-0.76,0.92,0,11.73,Low (<15),2023
2023-11-01,19064.05,19096.05,18973.7,18990.4,Red,-0.39%,-0.1,32.0,90.35,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.74,0.17,-0.47,-0.39,0.64,0,11.73,Low (<15),2023
2023-11-02,19120.0,19175.25,19064.15,19144.85,Green,+0.13%,-0.18,55.25,55.85,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.76,0.29,-0.29,0.13,0.58,1,12.05,Low (<15),2023
2023-11-03,19241.0,19276.25,19210.9,19226.05,Red,-0.08%,-0.36,35.25,30.1,Neutral,Strong Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.7,0.18,-0.16,-0.08,0.34,0,11.08,Low (<15),2023
2023-11-06,19345.85,19423.0,19309.7,19411.85,Green,+0.34%,-0.11,77.15,36.15,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.7,0.4,-0.19,0.34,0.59,0,11.08,Low (<15),2023
2023-11-07,19404.05,19423.5,19329.1,19417.2,Green,+0.07%,-0.21,19.45,74.95,Strong Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,0.7,0.1,-0.39,0.07,0.49,0,11.08,Low (<15),2023
2023-11-08,19449.6,19464.4,19401.5,19436.45,Red,-0.07%,-0.38,14.8,48.1,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.7,0.08,-0.25,-0.07,0.32,0,11.08,Low (<15),2023
2023-11-09,19457.4,19463.9,19378.35,19404.0,Red,-0.27%,-0.26,6.5,79.05,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.7,0.03,-0.41,-0.27,0.44,1,11.04,Low (<15),2023
2023-11-10,19351.85,19451.3,19329.45,19443.45,Green,+0.47%,-0.06,99.45,22.4,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.69,0.51,-0.12,0.47,0.63,0,10.98,Low (<15),2023
2023-11-12,19547.25,19547.25,19510.25,19522.3,Red,-0.13%,-0.5,0.0,37.0,Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.69,0.0,-0.19,-0.13,0.19,0,10.98,Low (<15),2023
2023-11-13,19486.75,19494.4,19414.75,19440.15,Red,-0.24%,-0.28,7.65,72.0,Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.69,0.04,-0.37,-0.24,0.41,0,10.98,Low (<15),2023
2023-11-15,19651.4,19693.2,19579.65,19676.8,Green,+0.13%,-0.11,41.8,71.75,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.69,0.21,-0.37,0.13,0.58,0,10.98,Low (<15),2023
2023-11-16,19674.7,19875.25,19627.0,19761.15,Green,+0.44%,0.56,200.55,47.7,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.7,1.02,-0.24,0.44,1.26,1,11.14,Low (<15),2023
2023-11-17,19674.75,19806.0,19667.45,19719.7,Green,+0.23%,-0.03,131.25,7.3,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.73,0.67,-0.04,0.23,0.7,0,11.65,Low (<15),2023
2023-11-20,19731.15,19756.45,19670.5,19693.65,Red,-0.19%,-0.29,25.3,60.65,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Reversed Before Half,0.73,0.13,-0.31,-0.19,0.44,0,11.65,Low (<15),2023
2023-11-21,19770.9,19829.1,19754.05,19780.8,Green,+0.05%,-0.35,58.2,16.85,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.73,0.29,-0.09,0.05,0.38,0,11.65,Low (<15),2023
2023-11-22,19784.0,19825.55,19703.85,19810.6,Green,+0.13%,-0.11,41.55,80.15,Strong Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,0.73,0.21,-0.41,0.13,0.62,0,11.65,Low (<15),2023
2023-11-23,19828.45,19875.15,19786.75,19811.0,Red,-0.09%,-0.3,46.7,41.7,Neutral,Strong Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.75,0.24,-0.21,-0.09,0.45,1,11.87,Low (<15),2023
2023-11-24,19809.6,19832.85,19768.85,19788.7,Red,-0.11%,-0.39,23.25,40.75,Bearish,Neutral,Bearish,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.71,0.12,-0.21,-0.11,0.32,0,11.32,Low (<15),2023
2023-11-28,19844.65,19916.85,19800.0,19908.45,Green,+0.32%,-0.12,72.2,44.65,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.71,0.36,-0.22,0.32,0.59,0,11.32,Low (<15),2023
2023-11-29,19976.55,20104.65,19956.3,20096.2,Green,+0.6%,0.03,128.1,20.25,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.71,0.64,-0.1,0.6,0.74,0,11.32,Low (<15),2023
2023-11-30,20108.5,20158.7,20015.85,20127.2,Green,+0.09%,-0.09,50.2,92.65,Strong Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,0.8,0.25,-0.46,0.09,0.71,1,12.71,Low (<15),2023
2023-12-01,20194.1,20291.55,20183.7,20255.75,Green,+0.31%,-0.27,97.45,10.4,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Down to Up,Worked then Reversed,Reversed by Close,Reversed Before Half,0.8,0.48,-0.05,0.31,0.53,0,12.69,Low (<15),2023
2023-12-04,20601.95,20702.65,20507.75,20686.8,Green,+0.41%,0.15,100.7,94.2,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.8,0.49,-0.46,0.41,0.95,0,12.69,Low (<15),2023
2023-12-05,20808.9,20864.05,20711.15,20856.7,Green,+0.23%,-0.07,55.15,97.75,Strong Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,0.8,0.27,-0.47,0.23,0.73,0,12.69,Low (<15),2023
2023-12-06,20950.75,20961.95,20852.15,20935.9,Red,-0.07%,-0.28,11.2,98.6,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.8,0.05,-0.47,-0.07,0.52,0,12.69,Low (<15),2023
2023-12-07,20932.4,20941.25,20850.8,20916.1,Red,-0.08%,-0.44,8.85,81.6,Bullish,Strong Bearish,Bullish,Bearish,Mixed,None,Top to Down,N/A,N/A,N/A,0.87,0.04,-0.39,-0.08,0.43,1,13.74,Low (<15),2023
2023-12-08,20934.1,21006.1,20862.7,20972.1,Green,+0.18%,-0.11,72.0,71.4,Bullish,Mildly Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,0.8,0.34,-0.34,0.18,0.69,0,12.67,Low (<15),2023
2023-12-11,20965.3,21026.1,20923.7,20992.8,Green,+0.13%,-0.31,60.8,41.6,Mildly Bearish,Bullish,Bearish,Bullish,Mixed,None,Down to Up,N/A,N/A,N/A,0.8,0.29,-0.2,0.13,0.49,0,12.67,Low (<15),2023
2023-12-12,21018.55,21037.9,20867.15,20900.4,Red,-0.56%,0.01,19.35,151.4,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.8,0.09,-0.72,-0.56,0.81,0,12.67,Low (<15),2023
2023-12-13,20929.75,20950.0,20769.5,20937.45,Green,+0.04%,0.06,20.25,160.25,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.8,0.1,-0.77,0.04,0.86,0,12.67,Low (<15),2023
2023-12-14,21110.4,21210.9,21074.45,21195.25,Green,+0.4%,-0.11,100.5,35.95,Neutral,Strong Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.76,0.48,-0.17,0.4,0.65,1,12.07,Low (<15),2023
2023-12-15,21287.45,21492.3,21235.3,21448.7,Green,+0.76%,0.43,204.85,52.15,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.78,0.96,-0.24,0.76,1.21,0,12.32,Low (<15),2023
2023-12-18,21434.8,21482.8,21365.35,21410.8,Red,-0.11%,-0.23,48.0,69.45,Neutral,Strong Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.78,0.22,-0.32,-0.11,0.55,0,12.32,Low (<15),2023
2023-12-19,21477.65,21505.05,21337.75,21446.0,Red,-0.15%,0.0,27.4,139.9,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.78,0.13,-0.65,-0.15,0.78,0,12.32,Low (<15),2023
2023-12-20,21543.5,21593.0,21087.35,21101.5,Red,-2.05%,1.57,49.5,456.15,Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.78,0.23,-2.12,-2.05,2.35,0,12.32,Low (<15),2023
2023-12-21,21033.95,21288.35,20976.8,21283.0,Green,+1.18%,0.57,254.4,57.15,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.91,1.21,-0.27,1.18,1.48,1,14.45,Low (<15),2023
2023-12-22,21295.85,21390.5,21232.45,21332.35,Green,+0.17%,-0.13,94.65,63.4,Mildly Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.87,0.44,-0.3,0.17,0.74,0,13.76,Low (<15),2023
2023-12-26,21365.2,21477.15,21329.45,21454.15,Green,+0.42%,-0.18,111.95,35.75,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.87,0.52,-0.17,0.42,0.69,0,13.76,Low (<15),2023
2023-12-27,21497.65,21675.75,21495.8,21648.95,Green,+0.7%,-0.03,178.1,1.85,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.87,0.83,-0.01,0.7,0.84,0,13.76,Low (<15),2023
2023-12-28,21715.0,21801.45,21678.0,21773.7,Green,+0.27%,-0.41,86.45,37.0,Bearish,Strong Bullish,Bearish,Bullish,Mixed,None,Down to Up,N/A,N/A,N/A,0.98,0.4,-0.17,0.27,0.57,1,15.56,Normal (15-20),2023
2023-12-29,21737.65,21770.3,21676.9,21728.3,Red,-0.04%,-0.52,32.65,60.75,Bullish,Strong Bearish,Bullish,Bearish,Mixed,None,Top to Down,N/A,N/A,N/A,0.95,0.15,-0.28,-0.04,0.43,0,15.14,Normal (15-20),2023
2024-01-01,21727.75,21834.35,21680.85,21689.45,Red,-0.18%,-0.24,106.6,46.9,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.95,0.49,-0.22,-0.18,0.71,0,15.14,Normal (15-20),2024
2024-01-02,21751.35,21755.6,21555.65,21661.5,Red,-0.41%,-0.03,4.25,195.7,Neutral,Mildly Bearish,Neutral,Bearish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,0.95,0.02,-0.9,-0.41,0.92,0,15.14,Normal (15-20),2024
2024-01-03,21661.1,21677.0,21500.35,21523.7,Red,-0.63%,-0.13,15.9,160.75,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.95,0.07,-0.74,-0.63,0.82,0,15.14,Normal (15-20),2024
2024-01-04,21605.8,21685.65,21564.55,21669.6,Green,+0.3%,-0.33,79.85,41.25,Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,0.89,0.37,-0.19,0.3,0.56,1,14.1,Low (<15),2024
2024-01-05,21705.75,21749.6,21629.2,21709.55,Green,+0.02%,-0.29,43.85,76.55,Strong Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,0.84,0.2,-0.35,0.02,0.55,0,13.33,Low (<15),2024
2024-01-08,21747.6,21763.95,21492.9,21511.35,Red,-1.09%,0.41,16.35,254.7,Strong Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.84,0.08,-1.17,-1.09,1.25,0,13.33,Low (<15),2024
2024-01-09,21653.6,21724.45,21517.85,21551.95,Red,-0.47%,0.11,70.85,135.75,Mildly Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,None,Top to Down,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,0.84,0.33,-0.63,-0.47,0.95,0,13.33,Low (<15),2024
2024-01-10,21529.3,21641.85,21448.65,21625.4,Green,+0.45%,0.06,112.55,80.65,Strong Bullish,Neutral,Bullish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.84,0.52,-0.37,0.45,0.9,0,13.33,Low (<15),2024
2024-01-11,21688.0,21726.5,21593.75,21669.4,Red,-0.09%,-0.21,38.5,94.25,Bearish,Strong Bullish,Bearish,Bullish,Mixed,None,Top to Down,N/A,N/A,N/A,0.82,0.18,-0.43,-0.09,0.61,1,12.97,Low (<15),2024
2024-01-12,21773.55,21928.25,21715.15,21908.25,Green,+0.62%,0.18,154.7,58.4,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,0.8,0.71,-0.27,0.62,0.98,0,12.77,Low (<15),2024
2024-01-15,22053.15,22115.55,21963.55,22109.8,Green,+0.26%,-0.11,62.4,89.6,Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,0.8,0.28,-0.41,0.26,0.69,0,12.77,Low (<15),2024
2024-01-16,22080.5,22124.15,21969.8,22031.6,Red,-0.22%,-0.1,43.65,110.7,Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,0.8,0.2,-0.5,-0.22,0.7,0,12.77,Low (<15),2024
