date,nifty_open,nifty_high,nifty_low,nifty_close,fii_view,pro_view,fii_bucket,pro_bucket,alignment,strong_alignment,move_direction,outcome_classification,close_outcome,vix_exhaustion,vix_predicted_move_pct,intraday_high_pct,intraday_low_pct,actual_open_close_pct,actual_range_pct,is_nifty_expiry,vix_open,vix_regime,year
2020-09-14,11540.15,11566.25,11383.75,11422.1,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.34,0.23,-1.36,-1.02,1.58,0,21.26,Elevated (20-30),2020
2020-09-15,11487.2,11535.2,11442.65,11532.15,Mildly Bearish,Bearish,Bearish,Bearish,Bearish Alignment,None,Down to Up,Worked then Reversed,Reversed by Close,Reversed Before Half,1.34,0.42,-0.39,0.39,0.81,0,21.26,Elevated (20-30),2020
2020-09-16,11538.45,11617.6,11520.15,11600.05,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.34,0.69,-0.16,0.53,0.84,0,21.26,Elevated (20-30),2020
2020-09-17,11539.4,11586.65,11498.9,11519.25,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.24,0.41,-0.35,-0.17,0.76,1,19.66,Normal (15-20),2020
2020-09-18,11584.1,11584.1,11446.8,11515.95,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.27,0.0,-1.19,-0.59,1.19,0,20.1,Elevated (20-30),2020
2020-09-21,11503.8,11534.75,11219.9,11221.65,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.27,0.27,-2.47,-2.45,2.74,0,20.1,Elevated (20-30),2020
2020-09-22,11301.75,11301.75,11085.7,11175.5,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.27,0.0,-1.91,-1.12,1.91,0,20.1,Elevated (20-30),2020
2020-09-23,11258.75,11258.75,11025.1,11135.9,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.27,0.0,-2.08,-1.09,2.08,0,20.1,Elevated (20-30),2020
2020-09-24,11011.0,11014.15,10790.85,10821.35,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.32,0.03,-2.0,-1.72,2.03,1,20.99,Elevated (20-30),2020
2020-09-25,10910.4,11072.2,10856.2,11035.8,Mildly Bullish,Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,1.48,1.48,-0.5,1.15,1.98,0,23.51,Elevated (20-30),2020
2020-09-28,11140.85,11238.8,11100.5,11238.35,Bullish,Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,1.48,0.88,-0.36,0.88,1.24,0,23.51,Elevated (20-30),2020
2020-09-29,11288.6,11304.8,11181.55,11222.65,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.48,0.14,-0.95,-0.58,1.09,0,23.51,Elevated (20-30),2020
2020-09-30,11244.45,11295.2,11184.75,11226.3,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.48,0.45,-0.53,-0.16,0.98,0,23.51,Elevated (20-30),2020
2020-10-01,11364.45,11428.3,11350.6,11422.4,Mildly Bullish,Neutral,Bullish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.23,0.56,-0.12,0.51,0.68,1,19.53,Normal (15-20),2020
2020-10-05,11487.8,11576.85,11452.75,11508.45,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.23,0.78,-0.31,0.18,1.08,0,19.53,Normal (15-20),2020
2020-10-06,11603.45,11679.4,11565.4,11660.4,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.23,0.65,-0.33,0.49,0.98,0,19.53,Normal (15-20),2020
2020-10-07,11679.25,11762.35,11631.0,11748.7,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.23,0.71,-0.41,0.59,1.12,0,19.53,Normal (15-20),2020
2020-10-08,11835.4,11905.5,11791.7,11833.15,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.26,0.59,-0.37,-0.02,0.96,1,20.06,Elevated (20-30),2020
2020-10-09,11852.05,11938.0,11806.15,11938.0,Neutral,Mildly Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.28,0.73,-0.39,0.73,1.11,0,20.38,Elevated (20-30),2020
2020-10-12,11973.55,12020.6,11867.2,11936.2,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.28,0.39,-0.89,-0.31,1.28,0,20.38,Elevated (20-30),2020
2020-10-13,11934.65,11987.85,11891.8,11925.25,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.28,0.45,-0.36,-0.08,0.8,0,20.38,Elevated (20-30),2020
2020-10-14,11917.4,11996.3,11822.3,11966.45,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.28,0.66,-0.8,0.41,1.46,0,20.38,Elevated (20-30),2020
2020-10-15,12023.45,12023.45,11662.15,11672.55,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.27,0.0,-3.0,-2.92,3.0,1,20.21,Elevated (20-30),2020
2020-10-16,11727.4,11787.95,11668.45,11770.25,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.39,0.52,-0.5,0.37,1.02,0,22.06,Elevated (20-30),2020
2020-10-19,11879.2,11897.6,11820.95,11878.6,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.39,0.15,-0.49,-0.01,0.65,0,22.06,Elevated (20-30),2020
2020-10-20,11861.0,11948.35,11839.4,11898.7,Neutral,Mildly Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.39,0.74,-0.18,0.32,0.92,0,22.06,Elevated (20-30),2020
2020-10-21,11958.55,12018.1,11776.25,11933.85,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.39,0.5,-1.52,-0.21,2.02,0,22.06,Elevated (20-30),2020
2020-10-22,11890.0,11938.3,11824.0,11902.25,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.44,0.41,-0.56,0.1,0.96,1,22.92,Elevated (20-30),2020
2020-10-23,11957.9,11974.25,11908.85,11929.8,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.43,0.14,-0.41,-0.23,0.55,0,22.64,Elevated (20-30),2020
2020-10-26,11937.4,11937.4,11711.95,11776.9,Mildly Bearish,Neutral,Bearish,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.43,0.0,-1.89,-1.34,1.89,0,22.64,Elevated (20-30),2020
2020-10-27,11807.1,11898.7,11725.75,11887.8,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.43,0.78,-0.69,0.68,1.46,0,22.64,Elevated (20-30),2020
2020-10-28,11922.6,11929.35,11685.45,11727.35,Neutral,Strong Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.43,0.06,-1.99,-1.64,2.05,0,22.64,Elevated (20-30),2020
2020-10-29,11633.3,11743.9,11606.75,11670.7,Mildly Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,None,Down to Up,Worked then Reversed,Reversed by Close,Reversed Before Half,1.47,0.95,-0.23,0.32,1.18,1,23.28,Elevated (20-30),2020
2020-10-30,11678.45,11748.15,11536.1,11646.45,Neutral,Strong Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.51,0.6,-1.22,-0.27,1.82,0,24.02,Elevated (20-30),2020
2020-11-02,11697.35,11725.6,11557.75,11652.75,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.51,0.24,-1.19,-0.38,1.43,0,24.02,Elevated (20-30),2020
2020-11-03,11734.45,11835.1,11729.85,11807.65,Mildly Bullish,Mildly Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,1.51,0.86,-0.04,0.62,0.9,0,24.02,Elevated (20-30),2020
2020-11-04,11783.35,11929.2,11756.6,11893.65,Neutral,Mildly Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.51,1.24,-0.23,0.94,1.46,0,24.02,Elevated (20-30),2020
2020-11-05,12062.4,12130.65,12028.4,12127.6,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.46,0.57,-0.28,0.54,0.85,1,23.2,Elevated (20-30),2020
2020-11-06,12156.65,12279.9,12134.95,12261.35,Bullish,Neutral,Bullish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.32,1.01,-0.18,0.86,1.19,0,20.97,Elevated (20-30),2020
2020-11-09,12399.4,12472.7,12367.9,12468.15,Mildly Bullish,Neutral,Bullish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.32,0.59,-0.25,0.55,0.85,0,20.97,Elevated (20-30),2020
2020-11-10,12556.4,12642.35,12476.7,12640.25,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.32,0.68,-0.63,0.67,1.32,0,20.97,Elevated (20-30),2020
2020-11-11,12680.6,12768.85,12571.95,12757.2,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.32,0.7,-0.86,0.6,1.55,0,20.97,Elevated (20-30),2020
2020-11-12,12702.15,12740.85,12625.1,12693.0,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.39,0.3,-0.61,-0.07,0.91,1,22.03,Elevated (20-30),2020
2020-11-13,12659.7,12735.05,12608.3,12723.1,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.3,0.6,-0.41,0.5,1.0,0,20.62,Elevated (20-30),2020
2020-11-14,12823.35,12827.95,12750.85,12767.55,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.3,0.04,-0.57,-0.44,0.6,0,20.62,Elevated (20-30),2020
2020-11-17,12932.5,12932.5,12797.7,12878.9,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.3,0.0,-1.04,-0.41,1.04,0,20.62,Elevated (20-30),2020
2020-11-18,12860.1,12948.4,12820.05,12936.1,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.3,0.69,-0.31,0.59,1.0,0,20.62,Elevated (20-30),2020
2020-11-19,12839.5,12962.9,12746.45,12760.6,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.2,0.96,-0.72,-0.61,1.69,1,19.12,Normal (15-20),2020
2020-11-20,12813.4,12890.95,12730.65,12846.0,Mildly Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,None,Down to Up,Worked then Reversed,Reversed by Close,Exceeded Half then Reversed,1.23,0.61,-0.65,0.25,1.25,0,19.57,Normal (15-20),2020
2020-11-23,12960.3,12967.5,12826.0,12928.15,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.23,0.06,-1.04,-0.25,1.09,0,19.57,Normal (15-20),2020
2020-11-24,13002.6,13078.45,12980.45,13075.55,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.23,0.58,-0.17,0.56,0.75,0,19.57,Normal (15-20),2020
2020-11-25,13130.0,13144.65,12834.2,12858.7,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.23,0.11,-2.25,-2.07,2.36,0,19.57,Normal (15-20),2020
2020-11-26,12906.45,13017.2,12790.85,13015.05,Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,Strong Bearish Alignment,Down to Up,Worked then Reversed,Reversed by Close,Exceeded Half then Reversed,1.46,0.86,-0.9,0.84,1.75,1,23.13,Elevated (20-30),2020
2020-11-27,13012.05,13030.7,12915.65,12942.85,Bullish,Strong Bullish,Bullish,Bullish,Bullish Alignment,Strong Bullish Alignment,Top to Down,Worked then Reversed,Reversed by Close,Reversed Before Half,1.26,0.14,-0.74,-0.53,0.88,0,20.02,Elevated (20-30),2020
2020-12-01,13062.2,13128.2,12963.7,13097.85,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.26,0.51,-0.75,0.27,1.26,0,20.02,Elevated (20-30),2020
2020-12-02,13121.4,13127.7,12983.9,13104.15,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.26,0.05,-1.05,-0.13,1.1,0,20.02,Elevated (20-30),2020
2020-12-04,13177.4,13276.9,13152.9,13270.7,Mildly Bullish,Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Exceeded Half then Reversed,1.2,0.76,-0.19,0.71,0.94,0,19.0,Normal (15-20),2020
2020-12-07,13264.85,13366.05,13246.25,13355.2,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.2,0.76,-0.14,0.68,0.9,0,19.0,Normal (15-20),2020
2020-12-08,13393.85,13434.9,13311.6,13389.3,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.2,0.31,-0.61,-0.03,0.92,0,19.0,Normal (15-20),2020
2020-12-09,13458.1,13548.55,13453.8,13532.55,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.2,0.67,-0.03,0.55,0.7,0,19.0,Normal (15-20),2020
2020-12-10,13488.5,13503.2,13399.4,13481.55,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.19,0.11,-0.66,-0.05,0.77,1,18.92,Normal (15-20),2020
2020-12-11,13512.3,13578.5,13403.25,13505.55,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.18,0.49,-0.81,-0.05,1.3,0,18.71,Normal (15-20),2020
2020-12-14,13571.45,13597.4,13473.25,13554.85,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.18,0.19,-0.72,-0.12,0.91,0,18.71,Normal (15-20),2020
2020-12-15,13547.2,13588.25,13447.4,13564.5,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.18,0.3,-0.74,0.13,1.04,0,18.71,Normal (15-20),2020
2020-12-16,13663.1,13692.0,13606.5,13672.75,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.18,0.21,-0.41,0.07,0.63,0,18.71,Normal (15-20),2020
2020-12-17,13713.55,13772.8,13678.65,13734.85,Neutral,Mildly Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.21,0.43,-0.25,0.16,0.69,1,19.2,Normal (15-20),2020
2020-12-18,13764.4,13771.9,13659.05,13744.1,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.21,0.05,-0.77,-0.15,0.82,0,19.16,Normal (15-20),2020
2020-12-21,13741.9,13777.0,13135.1,13283.35,Neutral,Mildly Bearish,Neutral,Bearish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.21,0.26,-4.42,-3.34,4.67,0,19.16,Normal (15-20),2020
2020-12-22,13373.65,13490.8,13193.9,13460.8,Mildly Bearish,Strong Bearish,Bearish,Bearish,Bearish Alignment,None,Down to Up,Worked then Reversed,Reversed by Close,Exceeded Half then Reversed,1.21,0.88,-1.34,0.65,2.22,0,19.16,Normal (15-20),2020
2020-12-23,13473.5,13618.7,13433.25,13609.15,Neutral,Strong Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.21,1.08,-0.3,1.01,1.38,0,19.16,Normal (15-20),2020
2020-12-24,13672.15,13771.15,13627.4,13740.4,Neutral,Strong Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.29,0.72,-0.33,0.5,1.05,1,20.5,Elevated (20-30),2020
2020-12-28,13815.15,13885.3,13812.0,13881.0,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.29,0.51,-0.02,0.48,0.53,0,20.5,Elevated (20-30),2020
2020-12-29,13910.35,13967.15,13860.0,13926.9,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.29,0.41,-0.36,0.12,0.77,0,20.5,Elevated (20-30),2020
2020-12-30,13980.9,13995.95,13865.6,13975.25,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.29,0.11,-0.82,-0.04,0.93,0,20.5,Elevated (20-30),2020
2020-12-31,13970.0,14024.4,13941.6,13967.0,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.33,0.39,-0.2,-0.02,0.59,1,21.11,Elevated (20-30),2020
2021-01-01,13996.1,14049.8,13994.85,14014.8,Mildly Bullish,Neutral,Bullish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.33,0.38,-0.01,0.13,0.39,0,21.11,Elevated (20-30),2021
2021-01-04,14104.35,14147.85,13956.6,14143.65,Mildly Bearish,Neutral,Bearish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.33,0.31,-1.05,0.28,1.36,0,21.11,Elevated (20-30),2021
2021-01-05,14075.15,14215.2,14049.05,14199.3,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.33,1.0,-0.19,0.88,1.18,0,21.11,Elevated (20-30),2021
2021-01-06,14240.95,14241.4,14040.1,14134.05,Neutral,Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.33,0.0,-1.41,-0.75,1.41,0,21.11,Elevated (20-30),2021
2021-01-07,14253.75,14253.75,14123.65,14148.45,Neutral,Strong Bearish,Neutral,Bearish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.32,0.0,-0.91,-0.74,0.91,1,21.0,Elevated (20-30),2021
2021-01-08,14258.4,14366.85,14224.1,14343.9,Neutral,Mildly Bullish,Neutral,Bullish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.3,0.76,-0.24,0.6,1.0,0,20.62,Elevated (20-30),2021
2021-01-11,14474.05,14496.45,14384.1,14483.05,Mildly Bullish,Mildly Bullish,Bullish,Bullish,Bullish Alignment,None,Down to Up,Against then Recovered,Worked and Remained,Reversed Before Half,1.3,0.15,-0.62,0.06,0.78,0,20.62,Elevated (20-30),2021
2021-01-12,14473.8,14589.9,14435.95,14574.75,Mildly Bearish,Neutral,Bearish,Neutral,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.3,0.8,-0.26,0.7,1.06,0,20.62,Elevated (20-30),2021
2021-01-13,14639.8,14652.7,14436.65,14558.3,Neutral,Mildly Bullish,Neutral,Bullish,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.3,0.09,-1.39,-0.56,1.48,0,20.62,Elevated (20-30),2021
2021-01-14,14550.05,14617.25,14472.45,14597.5,Neutral,Bearish,Neutral,Bearish,Neutral/Unclear,None,Down to Up,N/A,N/A,N/A,1.47,0.46,-0.53,0.33,1.0,1,23.29,Elevated (20-30),2021
2021-01-15,14594.35,14616.15,14358.8,14434.4,Neutral,Neutral,Neutral,Neutral,Neutral/Unclear,None,Top to Down,N/A,N/A,N/A,1.45,0.15,-1.61,-1.1,1.76,0,23.03,Elevated (20-30),2021
